Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
7473,202852,PAPATYA,29.242471,41.029299,Çekmeköy,ALEMDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0528859790754 41.0986229992149),
7474,202861,ALAATTİN CAMİİ,29.248638,40.986746,Sancaktepe,SAMANDIRMA,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.05291100001 40.906637999118),
7475,202862,ALAATTİN CAMİİ,29.24825,40.986606,Sancaktepe,VEYSEL KARANI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0529179999905 41.0564130005628),
7476,202871,YAKUPHAN CADDESİ,29.253058,40.988377,Sancaktepe,ÜMRANIYE,YOK,KAPALI,İETTMODERN,Uygun Degil,29.0529329999905 41.0613190005637),
7477,202872,YAKUPHAN CADDESİ,29.25306603,40.988233,Sancaktepe,SULTANBEYLI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0530819923783 41.0972129970005),
7478,202881,ÖMERLİ ÇARŞI,29.32893598,41.07692602,Çekmeköy,ÖMERLI,YOK,KAPALI,CCMODERNDR,Uygun Degil,29.0530979999907 40.9795220005506),
7479,202882,ÖMERLİ ÇARŞI,29.329026,41.07684801,Çekmeköy,ÜMRANIYE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.053133013077 41.1218499576365),
7480,202891,BELEDİYE DİNLENME TESİSİ,29.595193,41.167882,Sile,SILE,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil,29.0531339867712 41.0957120198953),
7481,202892,BELEDİYE DİNLENME TESİSİ,29.59506,41.16814,Sile,ÜMRANIYE,YOK,KAPALI,CCMODERN,Uygun Degil,29.0531669999906 41.032537000559),
7482,202901,2.MERDİVEN SOKAK,29.599548,41.167571,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0531689685706 41.0324370080983),
7483,202902,2.MERDİVEN SOKAK,29.599631,41.167643,Sile,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0531739999908 40.970207000549),
7484,202911,KEMALLI MAHALLESİ,29.62610095,41.15827799,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0531939757189 41.1714289856469),
7485,202912,KEMALLI MAHALLESİ,29.62618599,41.15811697,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0532450354072 41.121839981027),
7486,202921,NECİP FAZIL KISAKÜREK,29.165093,41.016368,Ümraniye,SULTANBEYLI,VAR,KAPALI,CCMODERN,Uygun Degil,29.053258949496 40.9089237980056),
7487,202922,NECİP FAZIL KISAKÜREK,29.16492,41.016611,Ümraniye,KADIKÖY,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0532689970749 41.1379809722586),
7488,202931,DOĞA KONAKLARI,29.141678,41.068411,Beykoz,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0532979596007 41.1256959932152),
7489,202932,DOĞA KONAKLARI,29.14163503,41.06827497,Beykoz,KAVACIK,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0534199711381 41.0244869654834),
7490,202941,BUCAKLI,29.891345,41.115801,Sile,HACIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0535059715832 41.1138579894914),
7491,202951,KADIKÖY,29.905324,41.110576,Sile,HACIKÖY,YOK,KAPALI,İETTMODERN,Uygun Degil,29.0535729786905 41.1379469958558),
7492,202961,ÇELEBİKÖY,29.905046,41.095178,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.053679972843 41.178258961469),
7493,202971,HACIKÖY,29.879604,41.08599,Sile,AGVA,YOK,KAPALI,İETTMODERN,Uygun Degil,29.05368799999 41.1918550005846),
7494,202981,YUMUŞAK KÖY,29.879914,41.077211,Sile,HACIKÖY,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0537249999901 41.1920470005847),
7495,202991,SUNGURLU,29.866403,41.079089,Sile,HACIKÖY,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0537469810173 41.1712670100567),
7496,203001,GEREDELİ,29.862114,41.094956,Sile,HACIKÖY,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0538329999906 41.0479670005615),
7497,203011,HATIBLAR,29.871634,41.094727,Sile,AGVA,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0538559051324 40.9099446460204),
7498,203021,GÖÇE,29.853529,41.107826,Sile,HACIKÖY,YOK,KAPALI,İETTBAYRAK,Uygun Degil,29.0541050446736 41.1245320178465),
7499,203031,YENİKÖY,29.850307,41.117982,Sile,HACIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0541409999908 40.9688060005489),
7500,203041,İMRENDERE,29.59970397,41.14225904,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0541539999906 41.0347700005594),
