HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
29C,TARABYAÜSTÜ - KABATAŞ,29C/TARABYAÜSTÜ - KABATAŞ,1,Avrupa3,84.74
29D,FERAHEVLER - KABATAŞ,29D/FERAHEVLER - KABATAŞ,1,Avrupa3,85.74
29E,MASLAK GAZETECİLER SİTESİ - BEŞİKTAŞ,29E/MASLAK GAZETECİLER SİTESİ - BEŞİKTAŞ,1,Avrupa3,64
29GM,MASLAK GAZETECİLER SİTESİ - 4.LEVENT METRO,29GM/MASLAK GAZETECİLER SİTESİ - 4.LEVENT METRO,1,Avrupa3,36.77
29P,POLİGON MAHALLESİ - ZİNCİRLİKUYU METROBÜS,29P/POLİGON MAHALLESİ - ZİNCİRLİKUYU METROBÜS,1,Avrupa3,37.75
29Ş,İSTİNYE DEREİÇİ - ŞİŞLİ,29Ş/İSTİNYE DEREİÇİ - ŞİŞLİ,1,Avrupa3,65.68
29T,TARABYAÜSTÜ / DARÜŞŞAFAKA - İSTİNYE,29T/TARABYAÜSTÜ / DARÜŞŞAFAKA - İSTİNYE,1,Avrupa3,45.04
3,BURHANİYE MAHALLESİ - KADIKÖY,3/BURHANİYE MAHALLESİ - KADIKÖY,1,Anadolu1,52.53
300,TÜYAP - SİLİVRİ,300/TÜYAP - SİLİVRİ,1,Avrupa1,183.46
300G,TÜYAP-GÜMÜŞYAKA,300G/TÜYAP-GÜMÜŞYAKA,1,Avrupa1,260.3
303A,SİLİVRİ - AVCILAR METROBÜS ,303A/SİLİVRİ - AVCILAR METROBÜS,1,Avrupa1,231.43
303B,SİLİVRİ CEZAEVİ - OTOGAR,303B/SİLİVRİ CEZAEVİ - OTOGAR,1,Avrupa1,402.59
30A,BEŞİKTAŞ - MECİDİYEKÖY,30A/BEŞİKTAŞ - MECİDİYEKÖY,1,Avrupa3,26.88
30D,ORTAKÖY DEREBOYU - YENİKAPI,30D/ORTAKÖY DEREBOYU - YENİKAPI,1,Avrupa3,65.33
30M,BEŞİKTAŞ - MECİDİYEKÖY,30M/BEŞİKTAŞ - MECİDİYEKÖY,1,Avrupa3,19.32
31,KUYUMCUKENT - YENİKAPI,31/KUYUMCUKENT - YENİKAPI,1,Avrupa1,89.21
319,KAYIŞDAĞI - KADIKÖY,319/KAYIŞDAĞI - KADIKÖY,1,Anadolu1,86.36
31E,KUYUMCUKENT - EMİNÖNÜ,31E/KUYUMCUKENT - EMİNÖNÜ,1,Avrupa1,101.83
31K,KUYUMCUKENT-ŞİRİNEVLER,31K/KUYUMCUKENT-ŞİRİNEVLER,1,Avrupa1,19.68
31Y,TOKİ AYAZMA - YENİKAPI,31Y/TOKİ AYAZMA - YENİKAPI,1,Avrupa1,111.93
32,CEVATPAŞA - EMİNÖNÜ,32/CEVATPAŞA - EMİNÖNÜ,1,Avrupa2,78.96
320,FERHATPAŞA - ÜMRANİYE METRO/ÇAMLICA CAMİİ,320/FERHATPAŞA - ÜMRANİYE METRO/ÇAMLICA CAMİİ,1,Anadolu1,88.44
320A,SULTANBEYLİ MİMARSİNAN / SAMANDIRA - ÜSKÜDAR,320A/SULTANBEYLİ MİMARSİNAN / SAMANDIRA - ÜSKÜDAR,1,Anadolu2,156.44
320Y,YENİDOĞAN - KOZYATAĞI METRO ,320Y/YENİDOĞAN - KOZYATAĞI METRO,1,Anadolu2,110.09
32A,CEVATPAŞA - AKSARAY,32A/CEVATPAŞA - AKSARAY,1,Avrupa2,58.83
32M,CEVATPAŞA - MECİDİYEKÖY,32M/CEVATPAŞA - MECİDİYEKÖY,1,Avrupa2,75.44
32T,CEVATPAŞA - TAKSİM,32T/CEVATPAŞA - TAKSİM,1,Avrupa2,88.87
33,GİYİMKENT / TURGUTREİS - EMİNÖNÜ,33/GİYİMKENT / TURGUTREİS - EMİNÖNÜ,1,Avrupa2,97.22
336,ARNAVUTKÖY - EMİNÖNÜ,336/ARNAVUTKÖY - EMİNÖNÜ,1,Avrupa2,172
336A,BALABAN KÖYÜ - MESCİDİ SELAM,336A/BALABAN KÖYÜ - MESCİDİ SELAM,1,Avrupa2,206.53
336E,SULTANÇİFTLİĞİ - EMİNÖNÜ,336E/SULTANÇİFTLİĞİ - EMİNÖNÜ,1,Avrupa2,93.56
336G,TAŞOLUK PERON - TEKSTİLKENT METRO,336G/TAŞOLUK PERON - TEKSTİLKENT METRO,1,Avrupa2,117.88
336H,HADIMKÖY - MESCİDİ SELAM,336H/HADIMKÖY - MESCİDİ SELAM,1,Avrupa2,166.47
336K,YENİKÖY / KARABURUN - MESCİDİ SELAM,336K/YENİKÖY / KARABURUN - MESCİDİ SELAM,1,Avrupa2,213.84
336M,ARNAVUTKÖY - MECİDİYEKÖY,336M/ARNAVUTKÖY - MECİDİYEKÖY,1,Avrupa2,175.84
336MC,BOLLUCA / İMRAHOR - CEBECİ,336MC/BOLLUCA / İMRAHOR - CEBECİ,1,Avrupa2,134
336T,TAŞOLUK MAHALLESİ- CEBECİ,336T/TAŞOLUK MAHALLESİ- CEBECİ,1,Avrupa2,132.05
336Y,CEBECİ - YENİKAPI MARMARAY,336Y/CEBECİ - YENİKAPI MARMARAY,1,Avrupa2,101.88
33B,GİYİMKENT / BİRLİK MAHALLESİ - EMİNÖNÜ,33B/GİYİMKENT / BİRLİK MAHALLESİ - EMİNÖNÜ,1,Avrupa2,107.92
33E,ESENLER METRO - YENİKAPI,33E/ESENLER METRO - YENİKAPI,1,Avrupa2,79.63
33ES,GİYİMKENT - EMİNÖNÜ,33ES/GİYİMKENT - EMİNÖNÜ,1,Avrupa2,76.56
33M,GİYİMKENT - MECİDİYEKÖY,33M/GİYİMKENT - MECİDİYEKÖY,1,Avrupa2,104.9
33TE,ESENLER TURGUTREİS - EMİNÖNÜ,33TE/ESENLER TURGUTREİS - EMİNÖNÜ,1,Avrupa2,85.31
33TM,GİYİMKENT / TURGUTREİS - MECİDİYEKÖY,33TM/GİYİMKENT / TURGUTREİS - MECİDİYEKÖY,1,Avrupa2,88.25
33Y,GİYİMKENT / YÜZYIL MAHALLESİ - EMİNÖNÜ,33Y/GİYİMKENT / YÜZYIL MAHALLESİ - EMİNÖNÜ,1,Avrupa2,100.14
34,AVCILAR-ZİNCİRLİKUYU,34/AVCILAR-ZİNCİRLİKUYU,1,Metrobüs,144.26
34A,CEVİZLİBAĞ - SÖĞÜTLÜÇEŞME,34A/CEVİZLİBAĞ - SÖĞÜTLÜÇEŞME,1,Metrobüs,109.43
34AS,AVCILAR - SÖĞÜTLÜÇEŞME,34AS/AVCILAR - SÖĞÜTLÜÇEŞME,1,Metrobüs,198.81
34B,BEYLİKDÜZÜ-AVCILAR,34B/BEYLİKDÜZÜ-AVCILAR,1,Metrobüs,47.74
34BZ,BEYLİKDÜZÜ - ZİNCİRLİKUYU,34BZ/BEYLİKDÜZÜ - ZİNCİRLİKUYU,1,Metrobüs,189.73
34C,BEYLİKDÜZÜ-CEVİZLİBAĞ,34C/BEYLİKDÜZÜ-CEVİZLİBAĞ,1,Metrobüs,139.55
34G,BEYLİKDÜZÜ-SÖĞÜTLÜÇEŞME,34G/BEYLİKDÜZÜ-SÖĞÜTLÜÇEŞME,1,Metrobüs,244.28
34T,AVCILAR -TOPKAPI,34T/AVCILAR -TOPKAPI,1,Metrobüs,94.08
34U,ZİNCİRLİKUYU-UZUNÇAYIR,34U/ZİNCİRLİKUYU-UZUNÇAYIR,1,Metrobüs,44.93
34Z,ZİNCİRLİKUYU-SÖĞÜTLÜÇEŞME,34Z/ZİNCİRLİKUYU-SÖĞÜTLÜÇEŞME,1,Metrobüs,54.55
35,KOCAMUSTAFAPAŞA - EMİNÖNÜ,35/KOCAMUSTAFAPAŞA - EMİNÖNÜ,1,Avrupa2,29.82
35A,KOCAMUSTAFAPAŞA - AKSARAY,35A/KOCAMUSTAFAPAŞA - AKSARAY,1,Avrupa2,10.7
35C,KOCAMUSTAFAPAŞA - TAKSİM,35C/KOCAMUSTAFAPAŞA - TAKSİM,1,Avrupa2,39.93
35D,KOCAMUSTAFAPAŞA - BALAT,35D/KOCAMUSTAFAPAŞA - BALAT,1,Avrupa2,46.98
36,KARADENİZ MAHALLESİ - AKSARAY,36/KARADENİZ MAHALLESİ - AKSARAY,1,Avrupa2,66.52
36A,CEBECİ - VEZNECİLER,36A/CEBECİ - VEZNECİLER,1,Avrupa2,82.59
36AS,TAŞOLUK PERON - SEFAKÖY METROBÜS,36AS/TAŞOLUK PERON - SEFAKÖY METROBÜS,1,Avrupa2,202.38
36AY,ARNAVUTKÖY - YENİBOSNA METRO,36AY/ARNAVUTKÖY - YENİBOSNA METRO,1,Avrupa2,173.67
36B,BOLLUCA / BOĞAZKÖY - CEBECİ,36B/BOLLUCA / BOĞAZKÖY - CEBECİ,1,Avrupa2,116.1
36C,CEBECİ-ARNAVUTKÖY MERKEZ,36C/CEBECİ-ARNAVUTKÖY MERKEZ,1,Avrupa2,79.73
36CB,CEBECİ KÖYÜ - İSTİKLAL MAHALLESİ,36CB/CEBECİ KÖYÜ - İSTİKLAL MAHALLESİ,1,Avrupa2,108.38
36CE,CEBECİ - EMİNÖNÜ,36CE/CEBECİ - EMİNÖNÜ,1,Avrupa2,107.69
36CY,CEBECİ - YENİBOSNA METRO,36CY/CEBECİ - YENİBOSNA METRO,1,Avrupa2,120.68
36D,ARNAVUTKÖY - DELİKLİKAYA,36D/ARNAVUTKÖY - DELİKLİKAYA,1,Avrupa2,174.77
36EM,CEBECİ - MECİDİYEKÖY,36EM/CEBECİ - MECİDİYEKÖY,1,Avrupa2,114.57
36ES,ESENTEPE MAHALLESİ - AKSARAY,36ES/ESENTEPE MAHALLESİ - AKSARAY,1,Avrupa2,84.69
36F,CEBECİ - FENERTEPE/OLİMPİYATKÖY METRO,36F/CEBECİ - FENERTEPE/OLİMPİYATKÖY METRO,1,Avrupa2,113.33
36HT,FATİH MAHALLESİ- HARAÇÇI - CEBECİ,36HT/FATİH MAHALLESİ- HARAÇÇI - CEBECİ,1,Avrupa2,143.59
36KE,KARADENİZ MAHALLESİ - EMİNÖNÜ,36KE/KARADENİZ MAHALLESİ - EMİNÖNÜ,1,Avrupa2,73.99
36L,MESCİDİ SELAM - BEŞİKTAŞ,36L/MESCİDİ SELAM - BEŞİKTAŞ,1,Avrupa2,120.18
36M,CEBECİ - MECİDİYEKÖY,36M/CEBECİ - MECİDİYEKÖY,1,Avrupa2,105.85
36S,HABİPLER - SULTANGAZİ BELEDİYESİ,36S/HABİPLER - SULTANGAZİ BELEDİYESİ,1,Avrupa2,58.63
36T,CEBECİ - TAKSİM,36T/CEBECİ - TAKSİM,1,Avrupa2,130.67
36TC,TAŞOLUK PERON- CEBECİ,36TC/TAŞOLUK PERON- CEBECİ,1,Avrupa2,129.15
36V,YAYLA MAHALLESİ - VEZNECİLER,36V/YAYLA MAHALLESİ - VEZNECİLER,1,Avrupa2,109.43
36Y,TAŞOLUK PERON - YENİKAPI,36Y/TAŞOLUK PERON - YENİKAPI,1,Avrupa2,195.72
36YS,YASSIÖREN - ARNAVUTKÖY,36YS/YASSIÖREN - ARNAVUTKÖY,1,Avrupa2,162.38
37E,ÇIRÇIR METRO - EMİNÖNÜ,37E/ÇIRÇIR METRO - EMİNÖNÜ,1,Avrupa3,73.68
37M,ÇIRÇIR METRO - MECİDİYEKÖY,37M/ÇIRÇIR METRO - MECİDİYEKÖY,1,Avrupa3,81.76
37T,ÇIRÇIR METRO - TAKSİM,37T/ÇIRÇIR METRO - TAKSİM,1,Avrupa3,76.2
37Y,ÇIRÇIR METRO - VEZNECİLER,37Y/ÇIRÇIR METRO - VEZNECİLER,1,Avrupa3,61.87
38,YUNUS EMRE MAHALLESİ - AKSARAY,38/YUNUS EMRE MAHALLESİ - AKSARAY,1,Avrupa2,78.8
38B,YUNUS EMRE MAHALLESİ - VEZNECİLER,38B/YUNUS EMRE MAHALLESİ - VEZNECİLER,1,Avrupa2,75.51
38E,G.O.P. DEVLET HASTANESİ - EMİNÖNÜ,38E/G.O.P. DEVLET HASTANESİ - EMİNÖNÜ,1,Avrupa2,73.17
38G,G.O.P. DEVLET HASTANESİ - MECİDİYEKÖY,38G/G.O.P. DEVLET HASTANESİ - MECİDİYEKÖY,1,Avrupa2,85.88
38H,ZÜBEYDE HANIM MAHALLESİ - HABİBLER,38H/ZÜBEYDE HANIM MAHALLESİ - HABİBLER,1,Avrupa2,66.09
38KT,KARADENİZ MAHALLESİ - TAKSİM,38KT/KARADENİZ MAHALLESİ - TAKSİM,1,Avrupa2,86.9
38M,CEVATPAŞA / KÜÇÜKKÖY - MECİDİYEKÖY,38M/CEVATPAŞA / KÜÇÜKKÖY - MECİDİYEKÖY,1,Avrupa2,95.12
38T,KÜÇÜKKÖY-TAKSİM,38T/KÜÇÜKKÖY-TAKSİM,1,Avrupa2,78.69
38Z,ZÜBEYDE HANIM MAHALLESİ - AKSARAY,38Z/ZÜBEYDE HANIM MAHALLESİ - AKSARAY,1,Avrupa2,72.01
39,AKŞEMSETTİN - YENİKAPI,39/AKŞEMSETTİN - YENİKAPI,1,Avrupa3,83.62
399B,EMNİYETTEPE - EMİNÖNÜ,399B/EMNİYETTEPE - EMİNÖNÜ,1,Avrupa3,87.63
399C,ESENTEPE MAHALLESİ - EMİNÖNÜ,399C/ESENTEPE MAHALLESİ - EMİNÖNÜ,1,Avrupa2,110.63
39A,AKŞEMSETTİN - VEZNECİLER,39A/AKŞEMSETTİN - VEZNECİLER,1,Avrupa3,76.24
39B,ÇIRÇIR METRO - VEZNECİLER,39B/ÇIRÇIR METRO - VEZNECİLER,1,Avrupa3,74.4
39Ç,KAĞITHANE - AKSARAY,39Ç/KAĞITHANE - AKSARAY,1,Avrupa3,110.21
39D,YEŞİLPINAR - YENİKAPI,39D/YEŞİLPINAR - YENİKAPI,1,Avrupa3,88.05
39K,BİNEVLER - YENİKAPI,39K/BİNEVLER - YENİKAPI,1,Avrupa3,90.42
39O,YEŞİLPINAR - OTOGAR,39O/YEŞİLPINAR - OTOGAR,1,Avrupa3,85.57
39Y,YEŞİLPINAR - VEZNECİLER,39Y/YEŞİLPINAR - VEZNECİLER,1,Avrupa3,75.82
3A,KADIKÖY - ÜNALAN MAHALLESİ,3A/KADIKÖY - ÜNALAN MAHALLESİ,1,Anadolu1,36.25
3B,KADIKÖY - ÜNALAN MAHALLESİ,3B/KADIKÖY - ÜNALAN MAHALLESİ,1,Anadolu1,42.03
4,MALTEPE SAHİL - KADIKÖY,4/MALTEPE SAHİL - KADIKÖY,1,Anadolu1,66.96
40,RUMELİFENERİ / GARİPÇE - TAKSİM,40/RUMELİFENERİ / GARİPÇE - TAKSİM,1,Avrupa3,191.48
400A,YEŞİLKENT- AVCILAR METROBÜS,400A/YEŞİLKENT- AVCILAR METROBÜS,1,Avrupa1,73.16
401,ÇATALCA - AVCILAR METROBÜS,401/ÇATALCA - AVCILAR METROBÜS,1,Avrupa1,158.96
401T,TEPEKENT - AVCILAR METROBÜS,401T/TEPEKENT - AVCILAR METROBÜS,1,Avrupa1,115.31
402,BİNKILIÇ - ÇATALCA,402/BİNKILIÇ - ÇATALCA,1,Avrupa1,264.73
403,ÇİFTLİKKÖY - ÇATALCA,403/ÇİFTLİKKÖY - ÇATALCA,1,Avrupa1,164.46
404,YALIKÖY / KARACAKÖY - ÇATALCA,404/YALIKÖY / KARACAKÖY - ÇATALCA,1,Avrupa1,297.15
40B,SARIYER - BEŞİKTAŞ,40B/SARIYER - BEŞİKTAŞ,1,Avrupa3,112.49
40T,İSTİNYE DEREİÇİ - TAKSİM,40T/İSTİNYE DEREİÇİ - TAKSİM,1,Avrupa3,79.54
41,SİNPAŞ SİTESİ - 4.LEVENT METRO,41/SİNPAŞ SİTESİ - 4.LEVENT METRO,1,Avrupa3,81.76
418,HADIMKÖY - AVCILAR METROBÜS,418/HADIMKÖY - AVCILAR METROBÜS,1,Avrupa1,173.71
41A,AYAZAĞA - 4. LEVENT METRO ,41A/AYAZAĞA - 4. LEVENT METRO,1,Avrupa3,30.64
41AT,AYAZAĞA - DAVUTPAŞA Y.T.Ü,41AT/AYAZAĞA - DAVUTPAŞA Y.T.Ü,1,Avrupa3,134.13
41C,AYAZAĞA - SARIYER,41C/AYAZAĞA - SARIYER,1,Avrupa3,92.61
41E,AYAZAĞA - KABATAŞ,41E/AYAZAĞA - KABATAŞ,1,Avrupa3,69.19
41N,NİŞANTAŞI ÜNİVERSİTESİ - MASLAK,41N/NİŞANTAŞI ÜNİVERSİTESİ - MASLAK,1,Avrupa3,16.1
41SF,SARIYER - FATİH SULTAN MEHMET,41SF/SARIYER - FATİH SULTAN MEHMET,1,Avrupa3,97.28
41SM,AYAZAĞA GARAJI - 4.LEVENT METRO,41SM/AYAZAĞA GARAJI - 4.LEVENT METRO,1,Avrupa3,39.4
41ST,SEYRANTEPE - TOPKAPI,41ST/SEYRANTEPE - TOPKAPI,1,Avrupa3,103.06
41Y,AYAZAĞA - YENİKAPI,41Y/AYAZAĞA - YENİKAPI,1,Avrupa3,111.13
42,BAHÇEKÖY / FERAHEVLER - ZİNCİRLİKUYU METROBÜS,42/BAHÇEKÖY / FERAHEVLER - ZİNCİRLİKUYU METROBÜS,1,Avrupa3,103.86
429,KIRAÇ - AVCILAR METROBÜS,429/KIRAÇ - AVCILAR METROBÜS,1,Avrupa1,104.74
429A,KIRAÇ - AVCILAR METROBÜS,429A/KIRAÇ - AVCILAR METROBÜS,1,Avrupa1,104.34
42HM,BAHÇEKÖY - HACIOSMAN METRO,42HM/BAHÇEKÖY - HACIOSMAN METRO,1,Avrupa3,39.49
42K,SARIYER - KAZIM KARABEKİR,42K/SARIYER - KAZIM KARABEKİR,1,Avrupa3,31.64
42KT,SARIYER - KOCATAŞ,42KT/SARIYER - KOCATAŞ,1,Avrupa3,32.22
42M,BAHÇEKÖY - ZİNCİRLİKUYU METROBÜS,42M/BAHÇEKÖY - ZİNCİRLİKUYU METROBÜS,1,Avrupa3,83.78
42T,BAHÇEKÖY - TAKSİM,42T/BAHÇEKÖY - TAKSİM,1,Avrupa3,132.2
42Z,HACIOSMAN METRO - KAZIM KARABEKİR ,42Z/HACIOSMAN METRO - KAZIM KARABEKİR,1,Avrupa3,26.04
43R,RUMELİ HİSARÜSTÜ - KABATAŞ,43R/RUMELİ HİSARÜSTÜ - KABATAŞ,1,Avrupa3,44.46
448,MİMARSİNAN - AVCILAR METROBÜS,448/MİMARSİNAN - AVCILAR METROBÜS,1,Avrupa1,117.66
44B,HAMİDİYE MAHALLESİ - EMİNÖNÜ,44B/HAMİDİYE MAHALLESİ - EMİNÖNÜ,1,Avrupa3,85.61
458,GÜRPINAR - AVCILAR METROBÜS,458/GÜRPINAR - AVCILAR METROBÜS,1,Avrupa1,117.71
46Ç,KAĞITHANE - EMİNÖNÜ,46Ç/KAĞITHANE - EMİNÖNÜ,1,Avrupa3,55.22
46E,HÜRRİYET MAHALLESİ - EMİNÖNÜ,46E/HÜRRİYET MAHALLESİ - EMİNÖNÜ,1,Avrupa3,43.62
46KT,KUŞTEPE - ŞİŞLİ,46KT/KUŞTEPE - ŞİŞLİ,1,Avrupa3,12.96
46T,ÇAĞLAYAN - TOPKAPI,46T/ÇAĞLAYAN - TOPKAPI,1,Avrupa3,73.34
47,YEŞİLPINAR - EMİNÖNÜ,47/YEŞİLPINAR - EMİNÖNÜ,1,Avrupa3,78.22
47A,ALİBEYKÖY CEP OTOGARI - YENİKAPI,47A/ALİBEYKÖY CEP OTOGARI - YENİKAPI,1,Avrupa3,82.79
47Ç,GÜZELTEPE - EMİNÖNÜ,47Ç/GÜZELTEPE - EMİNÖNÜ,1,Avrupa3,65.59
47E,BİNEVLER - EMİNÖNÜ,47E/BİNEVLER - EMİNÖNÜ,1,Avrupa3,67.03
47F,ÇIRÇIR METRO - 4.LEVENT METRO,47F/ÇIRÇIR METRO - 4.LEVENT METRO,1,Avrupa3,89.39
47K,KAZIM KARABEKİR - EMİNÖNÜ,47K/KAZIM KARABEKİR - EMİNÖNÜ,1,Avrupa3,82.44
47L,BİNEVLER -  HACIOSMAN METRO,47L/BİNEVLER -  HACIOSMAN METRO,1,Avrupa3,110.08
47N,NUR SİTESİ - EMİNÖNÜ,47N/NUR SİTESİ - EMİNÖNÜ,1,Avrupa3,80.24
48,GÖKTÜRK - MECİDİYEKÖY,48/GÖKTÜRK - MECİDİYEKÖY,1,Avrupa3,105.7
48A,GÖKTÜRK - KAZLIÇEŞME,48A/GÖKTÜRK - KAZLIÇEŞME,1,Avrupa3,145.41
48C,KEMERBURGAZ - ÇİFTALAN KÖYÜ,48C/KEMERBURGAZ - ÇİFTALAN KÖYÜ,1,Avrupa3,68.07
48D,GÖKTÜRK - HACIOSMAN METRO,48D/GÖKTÜRK - HACIOSMAN METRO,1,Avrupa3,105.54
48E,GÖKTÜRK - EMİNÖNÜ,48E/GÖKTÜRK - EMİNÖNÜ,1,Avrupa3,128.17
48F,AKPINAR KÖYÜ-MECİDİYEKÖY,48F/AKPINAR KÖYÜ-MECİDİYEKÖY,1,Avrupa3,183
48G,GÖKTÜRK- MESCİDİ SELAM,48G/GÖKTÜRK- MESCİDİ SELAM,1,Avrupa3,102.74
48H,HAMİDİYE MAHALLESİ - ŞİŞLİ,48H/HAMİDİYE MAHALLESİ - ŞİŞLİ,1,Avrupa3,40.04
48K,KEMERBURGAZ - AĞAÇLI KÖYÜ,48K/KEMERBURGAZ - AĞAÇLI KÖYÜ,1,Avrupa3,114.69
48KA,KEMERBURGAZ - ARNAVUTKÖY,48KA/KEMERBURGAZ - ARNAVUTKÖY,1,Avrupa3,143.86
48L,GÖKTÜRK - 4.LEVENT METRO,48L/GÖKTÜRK - 4.LEVENT METRO,1,Avrupa3,118.86
48M,AKPINAR KÖYÜ-ARNAVUTKÖY,48M/AKPINAR KÖYÜ-ARNAVUTKÖY,1,Avrupa3,93.12
48N,EMNİYETTEPE - TAKSİM,48N/EMNİYETTEPE - TAKSİM,1,Avrupa3,54.81
48P,KEMERBURGAZ - AKPINAR KÖYÜ,48P/KEMERBURGAZ - AKPINAR KÖYÜ,1,Avrupa3,102.56
48T,HAMİDİYE MAHALLESİ - TAKSİM,48T/HAMİDİYE MAHALLESİ - TAKSİM,1,Avrupa3,68.14
48U,BAHÇEŞEHİR ÜNİVERSİTESİ - KEMERBURGAZ,48U/BAHÇEŞEHİR ÜNİVERSİTESİ - KEMERBURGAZ,1,Avrupa3,8.16
48Y,YEŞİLPINAR - GÖKTÜRK,48Y/YEŞİLPINAR - GÖKTÜRK,1,Avrupa3,110.73
49,CEBECİ - ŞİŞLİ,49/CEBECİ - ŞİŞLİ,1,Avrupa2,78.02
49A,AKŞEMSETTİN - ŞİŞLİ,49A/AKŞEMSETTİN - ŞİŞLİ,1,Avrupa3,64.77
49B,ÇIRÇIR METRO- ŞİŞLİ,49B/ÇIRÇIR METRO- ŞİŞLİ,1,Avrupa3,61.14
49G,YUNUS EMRE MAHALLESİ - KÜÇÜKKÖY- ŞİŞLİ,49G/YUNUS EMRE MAHALLESİ - KÜÇÜKKÖY- ŞİŞLİ,1,Avrupa2,97.25
49GB,YUNUS EMRE MAHALLESİ / BARAJ YOLU - ŞİŞLİ,49GB/YUNUS EMRE MAHALLESİ / BARAJ YOLU - ŞİŞLİ,1,Avrupa2,89.48
49K,BİNEVLER - ŞİŞLİ,49K/BİNEVLER - ŞİŞLİ,1,Avrupa3,63.86
49M,KAZIM KARABEKİR - ŞİŞLİ,49M/KAZIM KARABEKİR - ŞİŞLİ,1,Avrupa3,81.6
49T,YEŞİLPINAR - TAKSİM,49T/YEŞİLPINAR - TAKSİM,1,Avrupa3,68.7
49Y,YEŞİLPINAR - ŞİŞLİ,49Y/YEŞİLPINAR - ŞİŞLİ,1,Avrupa3,68.96
49Z,YEŞİLPINAR - ZİNCİRLİKUYU METROBÜS,49Z/YEŞİLPINAR - ZİNCİRLİKUYU METROBÜS,1,Avrupa3,88.12
5,VALİEVLERİ - ÜSKÜDAR,5/VALİEVLERİ - ÜSKÜDAR,1,Anadolu1,63.2
500L,LEVENT - CEVİZLİBAĞ,500L/LEVENT - CEVİZLİBAĞ,1,Avrupa2,94.03
500T,TUZLA ŞİFA MAHALLESİ - CEVİZLİBAĞ,500T/TUZLA ŞİFA MAHALLESİ - CEVİZLİBAĞ,1,Anadolu2,368.05
522,ALEMDAĞ - MECİDİYEKÖY MEZARLIK,522/ALEMDAĞ - MECİDİYEKÖY MEZARLIK,1,Anadolu2,148.89
522B,YENİDOĞAN - MECİDİYEKÖY MEZARLIK,522B/YENİDOĞAN - MECİDİYEKÖY MEZARLIK,1,Anadolu2,161.06
522N,NİŞANTEPE - 4.LEVENT METRO ,522N/NİŞANTEPE - 4.LEVENT METRO,1,Anadolu2,174.53
522ST,SULTANBEYLİ - MECİDİYEKÖY,522ST/SULTANBEYLİ - MECİDİYEKÖY,1,Anadolu2,207.93
54Ç,ÇIKSALIN - TAKSİM,54Ç/ÇIKSALIN - TAKSİM,1,Avrupa3,40.55
54E,OKMEYDANI - EMİNÖNÜ,54E/OKMEYDANI - EMİNÖNÜ,1,Avrupa3,55.11
54HŞ,HASKÖY - ŞİŞLİ,54HŞ/HASKÖY - ŞİŞLİ,1,Avrupa3,54.54
54HT,HASKÖY - TAKSİM,54HT/HASKÖY - TAKSİM,1,Avrupa3,32.78
54K,HASKÖY - KULAKSIZ - TAKSİM,54K/HASKÖY - KULAKSIZ - TAKSİM,1,Avrupa3,51.85
54KT,KAPTANPAŞA - DOLAPDERE / TAKSİM,54KT/KAPTANPAŞA - DOLAPDERE / TAKSİM,1,Avrupa3,27.54
54ÖR,ÖRNEKTEPE - TAKSİM,54ÖR/ÖRNEKTEPE - TAKSİM,1,Avrupa3,39.86
54P,PİYALEPAŞA MAHALLESİ - TAKSİM,54P/PİYALEPAŞA MAHALLESİ - TAKSİM,1,Avrupa3,37.07
54T,SADABAT EVLERİ / TALATPAŞA - TAKSİM,54T/SADABAT EVLERİ / TALATPAŞA - TAKSİM,1,Avrupa3,50.26
54TE,SADABAT EVLERİ / TALATPAŞA - EMİNÖNÜ,54TE/SADABAT EVLERİ / TALATPAŞA - EMİNÖNÜ,1,Avrupa3,58.02
55,GAZİOSMANPAŞA - ŞİŞLİ,55/GAZİOSMANPAŞA - ŞİŞLİ,1,Avrupa2,55.98
559C,RUMELİ HİSARÜSTÜ - TAKSİM,559C/RUMELİ HİSARÜSTÜ - TAKSİM,1,Avrupa3,45.89
55B,GAZİOSMANPAŞA - BEŞİKTAŞ,55B/GAZİOSMANPAŞA - BEŞİKTAŞ,1,Avrupa2,62.61
55ET,EYÜPSULTAN - TAKSİM/BEŞİKTAŞ,55ET/EYÜPSULTAN - TAKSİM/BEŞİKTAŞ,1,Avrupa3,68.46
55T,GAZİOSMANPAŞA - TAKSİM,55T/GAZİOSMANPAŞA - TAKSİM,1,Avrupa2,50.68
55V,GAZİOSMANPAŞA - VEZNECİLER,55V/GAZİOSMANPAŞA - VEZNECİLER,1,Avrupa2,39.75
55Y,KAĞITHANE GARAJI - YENİBOSNA METRO,55Y/KAĞITHANE GARAJI - YENİBOSNA METRO,1,Avrupa3,128.26
57UL,BEŞİKTAŞ - KURUÇEŞMEÜSTÜ,57UL/BEŞİKTAŞ - KURUÇEŞMEÜSTÜ,1,Avrupa3,24.02
58A,POLİGON MAHALLESİ- KABATAŞ,58A/POLİGON MAHALLESİ- KABATAŞ,1,Avrupa3,74
58N,FATİH SULTAN MEHMET - KABATAŞ,58N/FATİH SULTAN MEHMET - KABATAŞ,1,Avrupa3,46.24
58S,LEVAZIM MAHALLESİ - KABATAŞ,58S/LEVAZIM MAHALLESİ - KABATAŞ,1,Avrupa3,36.75
