HATKODU,YON,SIRANO,DURAKKODU,XKOORDINATI,YKOORDINATI,YON,SEFER_SURESI
10E,G,29,225052,29.051646,40.985033,1,10
10E,G,30,225041,29.048455,40.985991,1,139.55
10E,G,31,225031,29.042579,40.988915,1,10
10E,G,32,225021,29.03809,40.993826,1,10
10E,G,33,224701,29.033756,40.992193,1,244.28
10E,G,34,224692,29.029362,40.990734,1,10
10E,G,35,224672,29.025884,40.991183,1,10
10E,G,36,403031,29.024177,40.992825,1,10
10G,G,1,216521,29.096748,41.03307,1,94.08
10G,G,2,202312,29.100948,41.034157,1,44.93
10G,G,3,219141,29.103093,41.031846,1,54.55
10G,G,4,203282,29.105055,41.030459,1,10
10G,G,5,217022,29.106352,41.02991,1,10
10G,G,6,223682,29.104049,41.028119,1,10
10G,G,7,215472,29.102735,41.027096,1,29.82
10G,G,8,217062,29.105149,41.02544,1,10.7
10G,G,9,222222,29.104532,41.0235,1,39.93
10G,G,10,222233,29.107349,41.021889,1,46.98
10G,G,11,223911,29.106766,41.020623,1,66.52
10G,G,12,223921,29.104981,41.018009,1,82.59
10G,G,13,223931,29.103785,41.016401,1,202.38
10G,G,14,223941,29.102906,41.012821,1,173.67
10G,G,15,223951,29.101029,41.011262,1,116.1
10G,G,16,223511,29.100037,41.011633,1,79.73
10G,G,17,223502,29.100496,41.014082,1,108.38
10G,G,18,223492,29.10062,41.015259,1,107.69
10G,G,19,223482,29.097554,41.0157,1,120.68
10G,G,20,224021,29.096183,41.016012,1,174.77
10G,G,21,223452,29.093608,41.015986,1,70.81
10G,G,22,223991,29.091573,41.016783,1,114.57
10G,G,23,204591,29.090743,41.016767,1,84.69
10G,G,24,201302,29.085538,41.014705,1,113.33
10G,G,25,214141,29.08211,41.013105,1,80.72
10G,G,26,214151,29.0836,41.010627,1,143.59
10G,G,27,230381,29.084032,41.006001,1,73.99
10G,G,28,224541,29.081123,41.003179,1,120.18
10G,G,29,224551,29.079006,41.001562,1,105.85
10G,G,30,224561,29.079685,40.998913,1,81.01
10G,G,31,224571,29.081918,40.997231,1,58.63
10G,G,32,224462,29.082523,40.995624,1,130.67
10G,G,33,224452,29.079561,40.99565,1,129.15
10G,G,34,224442,29.077414,40.995751,1,109.43
10G,G,35,206083,29.073256,40.9951,1,195.72
10G,G,36,217802,29.072919,40.996492,1,85.2
10G,G,37,255623,29.073421,40.993748,1,162.38
10G,G,38,227272,29.072857,40.991338,1,51.57
10G,G,39,227182,29.073094,40.987577,1,73.68
10G,G,40,227103,29.069106,40.985862,1,81.76
10G,G,41,205831,29.06601,40.985043,1,76.2
10G,G,42,225071,29.063976,40.983089,1,61.87
10G,G,43,259302,29.059141,40.98414,1,78.8
10G,G,44,225063,29.05596,40.984763,1,75.51
10G,G,45,225052,29.051646,40.985033,1,73.17
10G,G,46,225041,29.048455,40.985991,1,85.88
10G,G,47,225031,29.042579,40.988915,1,66.09
10G,G,48,225021,29.03809,40.993826,1,86.9
10G,G,49,225022,29.036581,40.992612,1,95.12
10G,G,50,288371,29.04074,40.989901,1,78.69
10G,G,51,225032,29.043411,40.988203,1,72.01
10G,G,52,225042,29.047892,40.985999,1,83.62
10G,G,53,225051,29.051793,40.984766,1,87.63
10G,G,54,225064,29.055666,40.984581,1,110.63
10G,G,55,259303,29.059442,40.983853,1,76.24
10G,G,56,225072,29.063521,40.983002,1,74.4
10G,G,57,227251,29.071459,40.982795,1,110.21
10G,G,58,227261,29.073986,40.985995,1,88.05
10G,G,59,227181,29.073992,40.988142,1,90.42
10G,G,60,227271,29.07341,40.991202,1,85.57
10G,G,61,255624,29.073906,40.993423,1,75.82
10G,G,62,224441,29.077637,40.995629,1,36.25
10G,G,63,224451,29.080268,40.995431,1,42.03
10G,G,64,224461,29.082769,40.995488,1,66.96
10G,G,65,224572,29.081949,40.997431,1,191.48
10G,G,66,224562,29.079868,40.998987,1,73.16
10G,G,67,224552,29.079479,41.001482,1,158.96
10G,G,68,224542,29.081702,41.003623,1,115.31
10G,G,69,230382,29.084598,41.006235,1,264.73
10G,G,70,214152,29.083816,41.010631,1,164.46
10G,G,71,214142,29.082442,41.012795,1,297.15
10G,G,72,201301,29.085415,41.01457,1,112.49
10G,G,73,285881,29.088409,41.015211,1,79.54
10G,G,74,204592,29.090596,41.016648,1,81.76
10G,G,75,223992,29.091708,41.016505,1,173.71
10G,G,76,223455,29.094781,41.015857,1,30.64
10G,G,77,224022,29.0964,41.016052,1,134.13
10G,G,78,223481,29.097513,41.015591,1,92.61
10G,G,79,223501,29.100361,41.014141,1,69.19
10G,G,80,223512,29.100182,41.011822,1,16.1
10G,G,81,223952,29.10121,41.011221,1,97.28
10G,G,82,223942,29.103399,41.013202,1,39.4
10G,G,83,223932,29.103993,41.016475,1,103.06
10G,G,84,223922,29.105432,41.018329,1,111.13
10G,G,85,223912,29.107069,41.020896,1,103.86
10G,G,86,222234,29.107541,41.022333,1,104.74
10G,G,87,222235,29.107776,41.023867,1,104.34
10G,G,88,222211,29.100962,41.025583,1,39.49
10G,G,89,215471,29.102875,41.027012,1,31.64
10G,G,90,223681,29.104186,41.02803,1,70.47
10G,G,91,217023,29.106471,41.029685,1,32.22
10G,G,92,203281,29.105083,41.030556,1,83.78
10G,G,93,223691,29.102841,41.030973,1,132.2
10G,G,94,219142,29.103082,41.033032,1,26.04
10G,G,95,201341,29.099198,41.035015,1,34.69
10S,D,1,208831,29.02286,40.991382,0,44.46
10S,D,2,224671,29.025632,40.991015,0,117.66
10S,D,3,224691,29.029844,40.989955,0,85.61
10S,D,4,224712,29.034705,40.990596,0,117.71
10S,D,5,225022,29.036581,40.992612,0,55.22
10S,D,6,288371,29.04074,40.989901,0,43.62
10S,D,7,225032,29.043411,40.988203,0,12.96
10S,D,8,225042,29.047892,40.985999,0,73.34
10S,D,9,225051,29.051793,40.984766,0,78.22
10S,D,10,225064,29.055666,40.984581,0,82.79
10S,D,11,259303,29.059442,40.983853,0,65.59
10S,D,12,225072,29.063521,40.983002,0,67.03
10S,D,13,225082,29.069813,40.981272,0,89.39
10S,D,14,225093,29.076034,40.980094,0,82.44
10S,D,15,225102,29.077864,40.978491,0,110.08
10S,D,16,225112,29.079827,40.975643,0,80.24
10S,D,17,225122,29.082438,40.973095,0,105.7
10S,D,18,225132,29.084603,40.969503,0,145.41
10S,D,19,230071,29.087974,40.967771,0,50.34
10S,D,20,230081,29.08941,40.96952,0,68.07
10S,D,21,230091,29.091685,40.972319,0,105.54
10S,D,22,230101,29.092947,40.973698,0,128.17
10S,D,23,226201,29.096157,40.972264,0,183
10S,D,24,226191,29.100676,40.970309,0,102.74
10S,D,25,226181,29.102238,40.966065,0,40.04
10S,D,26,225171,29.094866,40.957635,0,114.69
10S,D,27,401181,29.094129,40.954977,0,143.86
10S,D,28,206141,29.091805,40.954096,0,108.41
10S,D,29,224991,29.094414,40.952288,0,118.86
10S,D,30,402171,29.097769,40.951129,0,93.12
10S,G,1,402171,29.097769,40.951129,1,54.81
10S,G,2,225201,29.100736,40.954559,1,102.56
10S,G,3,225191,29.099103,40.956491,1,127.75
10S,G,4,225181,29.09616,40.957985,1,33.65
10S,G,5,226172,29.097706,40.960492,1,68.14
10S,G,6,226152,29.099528,40.962094,1,8.16
10S,G,7,226182,29.101425,40.964496,1,110.73
10S,G,8,209381,29.103914,40.966187,1,78.02
10S,G,9,226192,29.100804,40.970453,1,64.77
